,timestamp,angle,safety_switch_pressed,flex_myobrick_pos_encoder,flex_myobrick_torque_encoder,flex_myobrick_current,flex_myobrick_pwm,flex_myobrick_in_running_state,extend_myobrick_pos_encoder,extend_myobrick_torque_encoder,extend_myobrick_current,extend_myobrick_pwm,extend_myobrick_in_running_state
316,1675346078.94984,1517.0,False,-0.49448421597480774,-221.0,0.05000000074505806,7.0,True,0.5617384314537048,-246.0,0.25,-2.0,True
317,1675346079.0001273,1522.0,False,-0.4732048511505127,141.0,0.02500000037252903,-2.0,True,0.5477738380432129,-306.0,0.25,7.0,True
318,1675346079.0504358,1512.0,False,-0.48999884724617004,-302.0,0.4000000059604645,-2.0,True,0.574333906173706,-253.0,0.5625,7.0,True
319,1675346079.100856,1504.0,False,-0.5326879620552063,-438.0,-0.03750000149011612,-2.0,True,0.6190570592880249,-192.0,0.21250000596046448,7.0,True
320,1675346079.151103,1497.0,False,-0.5793799757957458,-514.0,0.05000000074505806,0.0,True,0.6476120948791504,-103.0,0.07500000298023224,0.0,True
321,1675346079.2013788,1495.0,False,-0.6201393008232117,-524.0,-0.0625,-2.0,True,0.6444306373596191,-261.0,0.574999988079071,7.0,True
322,1675346079.2516603,1491.0,False,-0.646569013595581,-505.0,0.02500000037252903,-2.0,True,0.6702083945274353,4.0,0.42500001192092896,7.0,True
323,1675346079.3017912,1484.0,False,-0.6874717473983765,-559.0,0.0625,-2.0,True,0.7341116070747375,129.0,0.0625,7.0,True
324,1675346079.352219,1479.0,False,-0.7251800298690796,-589.0,0.21250000596046448,-2.0,True,0.7856019139289856,115.0,-0.012500000186264515,7.0,True
325,1675346079.40249,1475.0,False,-0.7718720436096191,-467.0,0.26249998807907104,-2.0,True,0.8349408507347107,62.0,0.03750000149011612,7.0,True
326,1675346079.45275,1468.0,False,-0.810584306716919,-422.0,0.22499999403953552,-2.0,True,0.8711626529693604,-10.0,0.16249999403953552,7.0,True
